Frame,Drop Height,Change,Distance
1283,73,0,0
1284,73,0,0
1285,73,0,0
1286,73,0,0
1287,73,0,0
1288,81,8,0
1289,81,0,0
1290,73,-8,0
1291,74,1,0
1292,74,0,0
1293,74,0,0
1294,74,0,0
1295,74,0,0
1296,82,8,0
1297,82,0,0
1298,82,0,0
1299,83,1,0
1300,83,0,0
1301,83,0,0
1302,83,0,0
1303,83,0,0
1304,92,9,0
1305,83,-9,0
1306,83,0,0
1307,83,0,0
1308,73,-10,0
1309,73,0,0
1310,73,0,0
1311,73,0,0
1312,73,0,0
1313,73,0,0
1314,73,0,0
1315,73,0,0
1316,73,0,0
1317,73,0,0
1318,73,0,0
1319,73,0,0
1320,73,0,0
1321,73,0,0
1322,73,0,0
1323,73,0,0
1324,73,0,0
1325,73,0,0
1326,73,0,0
1327,73,0,0
1328,73,0,0
1329,73,0,0
1330,73,0,0
1331,73,0,0
1332,73,0,0
1333,94,21,0
1334,73,-21,0
1335,94,21,0
1336,73,-21,0
1337,73,0,0
1338,73,0,0
1339,94,21,0
1340,73,-21,0
1341,73,0,0
1342,182,109,0
1343,182,0,0
1344,94,-88,0
1345,699,605,0
1346,83,-616,0
1347,94,11,0
1348,94,0,0
1349,94,0,0
1350,94,0,0
1351,73,-21,0
1352,73,0,0
1353,73,0,0
1354,182,109,0
1355,73,-109,0
1356,94,21,0
1357,94,0,0
1358,182,88,0
1359,94,-88,0
1360,82,-12,0
1361,73,-9,0
1362,73,0,0
1363,73,0,0
1364,73,0,0
1365,73,0,0
1366,94,21,0
1367,94,0,0
1368,94,0,0
1369,94,0,0
1370,94,0,0
1371,73,-21,0
1372,94,21,0
1373,73,-21,0
1374,742,669,0
1375,745,3,0
1376,745,0,0
1377,746,1,0
1378,746,0,0
1379,748,2,0
1380,748,0,0
1381,745,-3,0
1382,745,0,0
1383,743,-2,0
1384,742,-1,0
1385,742,0,0
1386,742,0,0
1387,181,-561,0
1388,181,0,0
1389,87,-94,0
1390,87,0,0
1391,87,0,0
1392,87,0,0
1393,94,7,0
1394,744,650,0
1395,745,1,0
1396,94,-651,0
1397,92,-2,0
1398,92,0,0
1399,92,0,0
1400,743,651,0
1401,743,0,0
1402,743,0,0
1403,745,2,0
1404,79,-666,0
1405,79,0,0
1406,82,3,0
1407,79,-3,0
1408,83,4,0
1409,83,0,0
1410,83,0,0
1411,83,0,0
1412,87,4,0
1413,87,0,0
1414,87,0,0
1415,87,0,0
1416,73,-14,0
1417,87,14,0
1418,91,4,0
1419,90,-1,0
1420,90,0,0
1421,90,0,0
1422,90,0,0
1423,85,-5,0
1424,90,5,0
1425,73,-17,0
1426,73,0,0
1427,73,0,0
1428,73,0,0
1429,85,12,0
1430,73,-12,0
1431,73,0,0
1432,182,109,0
1433,73,-109,0
1434,73,0,0
1435,185,112,0
1436,185,0,0
1437,73,-112,0
1438,73,0,0
1439,73,0,0
1440,73,0,0
1441,82,9,0
1442,308,226,0
1443,85,-223,0
1444,85,0,0
1445,83,-2,0
1446,85,2,0
1447,85,0,0
1448,860,775,0
1449,73,-787,0
1450,860,787,0
1451,85,-775,0
1452,85,0,0
1453,73,-12,0
1454,73,0,0
1455,73,0,0
1456,73,0,0
1457,73,0,0
1458,73,0,0
1459,73,0,0
1460,82,9,0
1461,82,0,0
1462,73,-9,0
1463,85,12,0
1464,85,0,0
1465,85,0,0
1466,85,0,0
1467,73,-12,0
1468,73,0,0
1469,73,0,0
1470,73,0,0
1471,73,0,0
1472,73,0,0
1473,73,0,0
1474,85,12,0
1475,94,9,0
1476,94,0,0
1477,85,-9,0
1478,85,0,0
1479,73,-12,0
1480,73,0,0
1481,73,0,0
1482,73,0,0
1483,94,21,0
1484,94,0,0
1485,182,88,0
1486,94,-88,0
1487,73,-21,0
1488,73,0,0
1489,73,0,0
1490,73,0,0
1491,94,21,0
1492,73,-21,0
1493,182,109,0
1494,73,-109,0
1495,73,0,0
1496,743,670,0
1497,743,0,0
1498,73,-670,0
1499,744,671,0
1500,744,0,0
1501,745,1,0
1502,745,0,0
1503,745,0,0
1504,745,0,0
1505,745,0,0
1506,744,-1,0
1507,744,0,0
1508,744,0,0
1509,744,0,0
1510,744,0,0
1511,744,0,0
1512,744,0,0
1513,744,0,0
1514,744,0,0
1515,744,0,0
1516,744,0,0
1517,744,0,0
1518,743,-1,0
1519,743,0,0
1520,752,9,0
1521,751,-1,0
1522,751,0,0
1523,751,0,0
1524,751,0,0
1525,752,1,0
1526,748,-4,0
1527,749,1,0
1528,749,0,0
1529,749,0,0
1530,743,-6,0
1531,182,-561,0
1532,720,538,0
1533,94,-626,0
1534,308,214,0
1535,308,0,0
1536,182,-126,0
1537,182,0,0
1538,182,0,0
1539,182,0,0
1540,182,0,0
1541,182,0,0
1542,182,0,0
1543,182,0,0
1544,182,0,0
1545,182,0,0
1546,182,0,0
1547,182,0,0
1548,182,0,0
1549,73,-109,0
1550,73,0,0
1551,73,0,0
1552,182,109,0
1553,182,0,0
1554,182,0,0
